label,polyline
渋谷→新宿,"iwsxEurtsYeXx@aFyAiVqPwIwG{JoGoA@yK|DwQzEaNlHkA?eBCkHCqCHwBh@{C~A{HxAiJfBW^iG~AcAV"
新宿→池袋,"_~yxEgntsYr@{ILGhBaFoRcKYm@aCD}AUqIgAqGu@oIcA}Fk@yEe@eHy@oG_@sU}AeRsDeGuAwHsDeFyBoGqBgKsDy@GqCl@m[tJ_DAoJ}A_@lC"
東京→渋谷,"}iwxEqr`tYcBdPbShFn@r@uAdC}Kb^PdBzObJxIdFpOfF~FtCd[~K~FjFjFvExFpDtB~@lAF`AhAUpCuBhHaElN{ExUuD|JjCvH~G~QpCdL~AfGhAxLd@jLAtD|@zU~@lQlAtXVtLJnJP@An@HnB"
品川→東京,"yvmxEoi|sY[O@{@YCCKB_B{AMFcCeCKSIW@a@GKs@QC@kBuCQ@o@KA?a@]EA_@oIg@wXgGkKuB_JwBcC_AQa@oE_NC{Hk`@cO_At@aBpIgKyCqx@iGgBmAeQkNaRcNy@kA_GsF{HsIkGmG}TkVwBcB_DsAqEnNAfB_@jDEh@"
渋谷→六本木,"_msxEcztsYKcCBSDG~@Af@s@Q[AcDP}@Zu@NeABuAfAuBoIiEsEieAYqEGgJ_A{IyGsW_CyFcFuN"
下北沢→三軒茶屋,"uctxEgzmsYbA{IlE|BtIlB~ChBhIr@|B?hAj@hCL~F@tLWtFqAvXkO|JqCIQ"
高円寺→中野,"kw|xE{njsYT]B_G[ib@j@E@iBKmM@oFHoEAmHF[EcEiC@"
荻窪→阿佐ヶ谷,"qn|xEivdsYSmCCcCEuBjDkTUk@hAoDmBQ\wEu@Q\}IRqCCEy@yHyByIXKMkAW}@Cw@"
自由が丘→等々力,"}rixEo_nsYDTKd@bF^IhBLBEj@pATu@`ErA|FSP`CpJuRrsAIj@nAtA}@jG"
浦和→さいたま新都心,"ktzyEm}ksYc@PSm@KDGj@uCbEwBrAcB\gAd@o[bReB\?Jk@D@j@APKHG@sD`EaBz@s@JXx@yInGj@rAwPbK}VfKkYfLwHfFy_@xSmd@dW}BfB"
吉祥寺→三鷹,"if|xEsd|rYaPlx@hKxE`@rd@d@D"
立川→国分寺,"a_{xE_a|qYdEfBnWqcAh@_GGeCL}JF_Aj@oD`EoRTiCKmJ}GFe@_c@jCEi@ek@kCBCuAoHLm@so@mB@SgR\qKn@qMKcAiCiGCQi@cBeAeI}ByQo@sGu@iXPgC_@gDcCcGgC{CwBuEgCmDa@B"
横浜→みなとみらい,"{umwEobesYH@BDN[`BrAnBDJMnAj@BUnEe@jEcAxAkABYEcB^kF_@sFqB{SfMcJ"
川崎→武蔵小杉,"ayzwEsnssYwJoQiNyOaLlYsJbFiQ|R}DfNiNje@iQfQ{T`M{GvE_J~FyLxHiKzGgQrKiMtHqVpEa@Jw@zAq@h@@|Bm@PVtCoACa@FwHdBQFKLO\Y@a@LGL?f@cBZC|NLvAIl@"
千葉→幕張本郷,"}wjxEcbevYXyBI_Cy@sBqBuCa@gA_AgBaA{@iASw@AMMmCKwID{B`@sBx@aGzC_CfAQu@gLxEiA`@}EnAuDfAkCfAcHjDmJjC_NfCaIzAiBn@mDhCeHtIcMhQ_@bAi@jEI~DXxMhCr]~A|Sg|@~k@d@n@jBjC|ElGcCXgBh@_BhAiAjAw@lAq@lBe@fE\\Kf@NfE?`Fc@@UxIaBfOw@Q_Ih]a@WeBtHEFgB~Hr@^o@jCk@SsAVFxAIrB_@hAeBLA|@sCRw@OW?MGc@_@SIcBIu@O}@`CFhA\ABHZAr@Xz@Zc@t@Ul@B^HPGnCaB[g@dC_@f@BJi@dAq@We@^[rAq@z@[V_AfCU~Ai@HSJQ|@Wl@_@`ASS[dBMVM`@oAZmAj@yAt@}@dA_@[wB|BoKrMY^EXRNOf@A|@Wj@cAq@eFjGaAxAp@hB]XbDfHgAnBsD^cCxAoAdBqUtYmD_FcA~AG@]n@KX"
